Model,location,target_end_date,wis,horizon,reference_date,baseline,wis_baseline,wis_ratio
NU_UCSD-GLEAM_AI_FLUH,02,2024-04-20,0.974037391304348,0,2024-04-20,FluSight-baseline,3.7273913043478255,0.2613187915548817
CEPH-Rtrend_fluH,04,2024-04-20,5.05304347826087,0,2024-04-20,FluSight-baseline,7.143260869565218,0.707386104263672
FluSight-ensemble,04,2024-04-20,6.403975239818036,0,2024-04-20,FluSight-baseline,7.143260869565218,0.8965058615040921
MIGHTE-Nsemble,04,2024-04-20,6.435732337367506,0,2024-04-20,FluSight-baseline,7.143260869565218,0.9009516038799271
MOBS-GLEAM_FLUH,04,2024-04-20,13.966038260869563,0,2024-04-20,FluSight-baseline,7.143260869565218,1.9551348488998443
NU_UCSD-GLEAM_AI_FLUH,04,2024-04-20,12.118315217391308,0,2024-04-20,FluSight-baseline,7.143260869565218,1.6964682430993034
CEPH-Rtrend_fluH,05,2024-04-20,4.318695652173913,0,2024-04-20,FluSight-baseline,12.24295356540522,0.3527494921141582
FluSight-ensemble,05,2024-04-20,6.133233728808562,0,2024-04-20,FluSight-baseline,12.24295356540522,0.5009603030872528
MIGHTE-Nsemble,05,2024-04-20,6.464246033347753,0,2024-04-20,FluSight-baseline,12.24295356540522,0.5279972678826212
MOBS-GLEAM_FLUH,05,2024-04-20,2.2666486956521736,0,2024-04-20,FluSight-baseline,12.24295356540522,0.1851390421063932
NU_UCSD-GLEAM_AI_FLUH,05,2024-04-20,13.072440434782608,0,2024-04-20,FluSight-baseline,12.24295356540522,1.067752186181712
CEPH-Rtrend_fluH,06,2024-04-20,7.045923913043475,0,2024-04-20,FluSight-baseline,17.14691469577739,0.4109149685557489
FluSight-ensemble,06,2024-04-20,12.282476641157178,0,2024-04-20,FluSight-baseline,17.14691469577739,0.7163082606448068
MIGHTE-Nsemble,06,2024-04-20,18.14196120773055,0,2024-04-20,FluSight-baseline,17.14691469577739,1.0580306445566094
MOBS-GLEAM_FLUH,06,2024-04-20,7.947593043478263,0,2024-04-20,FluSight-baseline,17.14691469577739,0.46349988814229315
NU_UCSD-GLEAM_AI_FLUH,06,2024-04-20,25.58048173913044,0,2024-04-20,FluSight-baseline,17.14691469577739,1.4918416632369382
CEPH-Rtrend_fluH,08,2024-04-20,16.671739130434784,0,2024-04-20,FluSight-baseline,17.89179347826087,0.9318092761741023
FluSight-ensemble,08,2024-04-20,12.859684324159744,0,2024-04-20,FluSight-baseline,17.89179347826087,0.7187476392338584
MIGHTE-Nsemble,08,2024-04-20,15.121684800605824,0,2024-04-20,FluSight-baseline,17.89179347826087,0.8451743431411266
MOBS-GLEAM_FLUH,08,2024-04-20,3.1186956521739133,0,2024-04-20,FluSight-baseline,17.89179347826087,0.17430872181501722
NU_UCSD-GLEAM_AI_FLUH,08,2024-04-20,9.523926521739131,0,2024-04-20,FluSight-baseline,17.89179347826087,0.5323069782417856
CEPH-Rtrend_fluH,09,2024-04-20,3.858269565217392,0,2024-04-20,FluSight-baseline,3.812976608570432,1.0118786348033593
FluSight-ensemble,09,2024-04-20,4.328724244768583,0,2024-04-20,FluSight-baseline,3.812976608570432,1.1352611592315842
MIGHTE-Nsemble,09,2024-04-20,6.05915318203152,0,2024-04-20,FluSight-baseline,3.812976608570432,1.589087425402074
MOBS-GLEAM_FLUH,09,2024-04-20,10.426883478260867,0,2024-04-20,FluSight-baseline,3.812976608570432,2.7345784012480823
NU_UCSD-GLEAM_AI_FLUH,09,2024-04-20,7.232174347826086,0,2024-04-20,FluSight-baseline,3.812976608570432,1.896726649612882
CEPH-Rtrend_fluH,10,2024-04-20,1.6947826086956523,0,2024-04-20,FluSight-baseline,0.8986956521739125,1.885824866956944
FluSight-ensemble,10,2024-04-20,1.041329512341407,0,2024-04-20,FluSight-baseline,0.8986956521739125,1.1587120843663463
MIGHTE-Nsemble,10,2024-04-20,1.2904729721312114,0,2024-04-20,FluSight-baseline,0.8986956521739125,1.435939930286303
MOBS-GLEAM_FLUH,10,2024-04-20,1.8643478260869568,0,2024-04-20,FluSight-baseline,0.8986956521739125,2.074504112239963
NU_UCSD-GLEAM_AI_FLUH,10,2024-04-20,1.1422839130434783,0,2024-04-20,FluSight-baseline,0.8986956521739125,1.2710464441219167
CEPH-Rtrend_fluH,11,2024-04-20,1.741739130434783,0,2024-04-20,FluSight-baseline,2.4630978260869565,0.7071335583945634
FluSight-ensemble,11,2024-04-20,1.485484498987441,0,2024-04-20,FluSight-baseline,2.4630978260869565,0.6030960213006975
MIGHTE-Nsemble,11,2024-04-20,2.468727875141416,0,2024-04-20,FluSight-baseline,2.4630978260869565,1.0022857594184165
MOBS-GLEAM_FLUH,11,2024-04-20,2.840434782608696,0,2024-04-20,FluSight-baseline,2.4630978260869565,1.1531960901127516
NU_UCSD-GLEAM_AI_FLUH,11,2024-04-20,2.4771556521739133,0,2024-04-20,FluSight-baseline,2.4630978260869565,1.0057073762714857
CEPH-Rtrend_fluH,12,2024-04-20,25.93,0,2024-04-20,FluSight-baseline,49.86987252155131,0.5199532039869227
FluSight-ensemble,12,2024-04-20,24.798073252188274,0,2024-04-20,FluSight-baseline,49.86987252155131,0.4972555973844081
MIGHTE-Nsemble,12,2024-04-20,29.816389669444398,0,2024-04-20,FluSight-baseline,49.86987252155131,0.5978838156556189
MOBS-GLEAM_FLUH,12,2024-04-20,30.88733260869565,0,2024-04-20,FluSight-baseline,49.86987252155131,0.6193585635364851
NU_UCSD-GLEAM_AI_FLUH,12,2024-04-20,30.282966521739137,0,2024-04-20,FluSight-baseline,49.86987252155131,0.60723970185912
CEPH-Rtrend_fluH,13,2024-04-20,4.784782608695653,0,2024-04-20,FluSight-baseline,10.074510869565216,0.4749394457601244
FluSight-ensemble,13,2024-04-20,6.448412847942405,0,2024-04-20,FluSight-baseline,10.074510869565216,0.6400720522743054
MIGHTE-Nsemble,13,2024-04-20,10.196626454259482,0,2024-04-20,FluSight-baseline,10.074510869565216,1.0121212420409582
MOBS-GLEAM_FLUH,13,2024-04-20,3.894748260869565,0,2024-04-20,FluSight-baseline,10.074510869565216,0.3865942785009522
NU_UCSD-GLEAM_AI_FLUH,13,2024-04-20,12.81973652173913,0,2024-04-20,FluSight-baseline,10.074510869565216,1.2724922021243885
CEPH-Rtrend_fluH,15,2024-04-20,3.498939130434784,0,2024-04-20,FluSight-baseline,4.439529652361741,0.7881328438866082
FluSight-ensemble,15,2024-04-20,2.5841073235533325,0,2024-04-20,FluSight-baseline,4.439529652361741,0.5820678148142651
MIGHTE-Nsemble,15,2024-04-20,1.970537795100508,0,2024-04-20,FluSight-baseline,4.439529652361741,0.4438618388441716
MOBS-GLEAM_FLUH,15,2024-04-20,3.540434782608696,0,2024-04-20,FluSight-baseline,4.439529652361741,0.7974797016448028
NU_UCSD-GLEAM_AI_FLUH,15,2024-04-20,2.048476086956522,0,2024-04-20,FluSight-baseline,4.439529652361741,0.46141736791120963
CEPH-Rtrend_fluH,16,2024-04-20,1.7932608695652172,0,2024-04-20,FluSight-baseline,2.082729913168697,0.8610146031066135
FluSight-ensemble,16,2024-04-20,2.2094117827192865,0,2024-04-20,FluSight-baseline,2.082729913168697,1.0608249148147364
MIGHTE-Nsemble,16,2024-04-20,3.252893399886661,0,2024-04-20,FluSight-baseline,2.082729913168697,1.5618412062549478
MOBS-GLEAM_FLUH,16,2024-04-20,2.417826086956522,0,2024-04-20,FluSight-baseline,2.082729913168697,1.1608927646686575
NU_UCSD-GLEAM_AI_FLUH,16,2024-04-20,4.102488260869566,0,2024-04-20,FluSight-baseline,2.082729913168697,1.969764891227772
CEPH-Rtrend_fluH,17,2024-04-20,34.22521739130435,0,2024-04-20,FluSight-baseline,46.29311460832,0.7393155047112177
FluSight-ensemble,17,2024-04-20,24.682840042170177,0,2024-04-20,FluSight-baseline,46.29311460832,0.5331859878301225
MIGHTE-Nsemble,17,2024-04-20,33.60427103124592,0,2024-04-20,FluSight-baseline,46.29311460832,0.7259021415078089
MOBS-GLEAM_FLUH,17,2024-04-20,6.624790869565219,0,2024-04-20,FluSight-baseline,46.29311460832,0.14310531761832637
NU_UCSD-GLEAM_AI_FLUH,17,2024-04-20,13.600634782608696,0,2024-04-20,FluSight-baseline,46.29311460832,0.2937939021317077
CEPH-Rtrend_fluH,18,2024-04-20,18.90434782608697,0,2024-04-20,FluSight-baseline,36.709274695464345,0.5149747027941883
FluSight-ensemble,18,2024-04-20,22.520500738857123,0,2024-04-20,FluSight-baseline,36.709274695464345,0.613482585141887
MIGHTE-Nsemble,18,2024-04-20,25.95805071271863,0,2024-04-20,FluSight-baseline,36.709274695464345,0.7071251319472652
MOBS-GLEAM_FLUH,18,2024-04-20,6.06,0,2024-04-20,FluSight-baseline,36.709274695464345,0.1650808971376585
NU_UCSD-GLEAM_AI_FLUH,18,2024-04-20,20.51732608695653,0,2024-04-20,FluSight-baseline,36.709274695464345,0.5589139599506053
CEPH-Rtrend_fluH,19,2024-04-20,10.734782608695651,0,2024-04-20,FluSight-baseline,1.741617912918259,6.163684083099734
FluSight-ensemble,19,2024-04-20,4.986275977063135,0,2024-04-20,FluSight-baseline,1.741617912918259,2.8630137184958784
MIGHTE-Nsemble,19,2024-04-20,8.570313298453117,0,2024-04-20,FluSight-baseline,1.741617912918259,4.920891795429848
MOBS-GLEAM_FLUH,19,2024-04-20,4.243023478260869,0,2024-04-20,FluSight-baseline,1.741617912918259,2.4362539261847904
NU_UCSD-GLEAM_AI_FLUH,19,2024-04-20,6.459906521739131,0,2024-04-20,FluSight-baseline,1.741617912918259,3.709141065800648
CEPH-Rtrend_fluH,20,2024-04-20,17.70217391304348,0,2024-04-20,FluSight-baseline,9.686304347826086,1.8275467378863035
FluSight-ensemble,20,2024-04-20,11.096335683421945,0,2024-04-20,FluSight-baseline,9.686304347826086,1.1455695882519235
MIGHTE-Nsemble,20,2024-04-20,11.40428401587003,0,2024-04-20,FluSight-baseline,9.686304347826086,1.1773617270687466
MOBS-GLEAM_FLUH,20,2024-04-20,15.526521739130436,0,2024-04-20,FluSight-baseline,9.686304347826086,1.6029355656799158
NU_UCSD-GLEAM_AI_FLUH,20,2024-04-20,6.694866956521739,0,2024-04-20,FluSight-baseline,9.686304347826086,0.6911683461633414
CEPH-Rtrend_fluH,21,2024-04-20,3.239130434782609,0,2024-04-20,FluSight-baseline,12.381847826086956,0.2616031532836463
FluSight-ensemble,21,2024-04-20,6.497507047782554,0,2024-04-20,FluSight-baseline,12.381847826086956,0.5247606931570541
MIGHTE-Nsemble,21,2024-04-20,11.365856017284818,0,2024-04-20,FluSight-baseline,12.381847826086956,0.9179450577108875
MOBS-GLEAM_FLUH,21,2024-04-20,3.630434782608696,0,2024-04-20,FluSight-baseline,12.381847826086956,0.29320621878099956
NU_UCSD-GLEAM_AI_FLUH,21,2024-04-20,11.494805652173914,0,2024-04-20,FluSight-baseline,12.381847826086956,0.928359467312774
CEPH-Rtrend_fluH,22,2024-04-20,2.513478260869565,0,2024-04-20,FluSight-baseline,3.6195108695652167,0.6944248412138322
FluSight-ensemble,22,2024-04-20,2.822950801653485,0,2024-04-20,FluSight-baseline,3.6195108695652167,0.7799260461932481
