Model,Location,MAPE,horizon,reference_date
CEPH-Rtrend_fluH,01,0.125,0,2024-04-27
CEPH-Rtrend_fluH,02,2.0,0,2024-04-27
CEPH-Rtrend_fluH,04,0.36792452830188677,0,2024-04-27
CEPH-Rtrend_fluH,05,0.2,0,2024-04-27
CEPH-Rtrend_fluH,06,0.013245033112582781,0,2024-04-27
CEPH-Rtrend_fluH,08,0.2608695652173913,0,2024-04-27
CEPH-Rtrend_fluH,09,0.328125,0,2024-04-27
CEPH-Rtrend_fluH,10,2.0,0,2024-04-27
CEPH-Rtrend_fluH,11,0.125,0,2024-04-27
CEPH-Rtrend_fluH,12,0.2932330827067669,0,2024-04-27
CEPH-Rtrend_fluH,13,0.1,0,2024-04-27
CEPH-Rtrend_fluH,15,0.5714285714285714,0,2024-04-27
CEPH-Rtrend_fluH,16,1.0,0,2024-04-27
CEPH-Rtrend_fluH,17,0.0,0,2024-04-27
CEPH-Rtrend_fluH,18,0.10810810810810811,0,2024-04-27
CEPH-Rtrend_fluH,19,0.7727272727272727,0,2024-04-27
CEPH-Rtrend_fluH,20,0.7037037037037037,0,2024-04-27
CEPH-Rtrend_fluH,21,0.24,0,2024-04-27
CEPH-Rtrend_fluH,22,0.17647058823529413,0,2024-04-27
CEPH-Rtrend_fluH,23,0.07142857142857142,0,2024-04-27
CEPH-Rtrend_fluH,24,0.3,0,2024-04-27
CEPH-Rtrend_fluH,25,0.3283582089552239,0,2024-04-27
CEPH-Rtrend_fluH,26,0.06837606837606838,0,2024-04-27
CEPH-Rtrend_fluH,27,0.02564102564102564,0,2024-04-27
CEPH-Rtrend_fluH,28,0.3333333333333333,0,2024-04-27
CEPH-Rtrend_fluH,29,0.1016949152542373,0,2024-04-27
CEPH-Rtrend_fluH,30,2.6666666666666665,0,2024-04-27
CEPH-Rtrend_fluH,31,0.0,0,2024-04-27
CEPH-Rtrend_fluH,32,0.09523809523809523,0,2024-04-27
CEPH-Rtrend_fluH,33,1.0,0,2024-04-27
CEPH-Rtrend_fluH,34,0.10112359550561797,0,2024-04-27
CEPH-Rtrend_fluH,35,0.4,0,2024-04-27
CEPH-Rtrend_fluH,36,0.09815950920245399,0,2024-04-27
CEPH-Rtrend_fluH,37,0.6923076923076923,0,2024-04-27
CEPH-Rtrend_fluH,38,0.2857142857142857,0,2024-04-27
CEPH-Rtrend_fluH,39,0.09333333333333334,0,2024-04-27
CEPH-Rtrend_fluH,40,0.41935483870967744,0,2024-04-27
CEPH-Rtrend_fluH,41,0.23529411764705882,0,2024-04-27
CEPH-Rtrend_fluH,42,0.025423728813559324,0,2024-04-27
CEPH-Rtrend_fluH,44,0.14285714285714285,0,2024-04-27
CEPH-Rtrend_fluH,45,0.3333333333333333,0,2024-04-27
CEPH-Rtrend_fluH,46,0.2857142857142857,0,2024-04-27
CEPH-Rtrend_fluH,47,0.10869565217391304,0,2024-04-27
CEPH-Rtrend_fluH,48,0.4266666666666667,0,2024-04-27
CEPH-Rtrend_fluH,49,0.3333333333333333,0,2024-04-27
CEPH-Rtrend_fluH,50,0.0,0,2024-04-27
CEPH-Rtrend_fluH,51,0.4482758620689655,0,2024-04-27
CEPH-Rtrend_fluH,53,0.5135135135135135,0,2024-04-27
CEPH-Rtrend_fluH,54,0.5454545454545454,0,2024-04-27
CEPH-Rtrend_fluH,55,0.23684210526315788,0,2024-04-27
CEPH-Rtrend_fluH,56,0.75,0,2024-04-27
CEPH-Rtrend_fluH,US,0.019255455712451863,0,2024-04-27
CEPH-Rtrend_fluH,01,0.0,0,2024-04-20
CEPH-Rtrend_fluH,02,3.0,0,2024-04-20
CEPH-Rtrend_fluH,04,0.024691358024691357,0,2024-04-20
CEPH-Rtrend_fluH,05,0.23333333333333334,0,2024-04-20
CEPH-Rtrend_fluH,06,0.032467532467532464,0,2024-04-20
CEPH-Rtrend_fluH,08,1.0384615384615385,0,2024-04-20
CEPH-Rtrend_fluH,09,0.08771929824561403,0,2024-04-20
CEPH-Rtrend_fluH,10,0.375,0,2024-04-20
CEPH-Rtrend_fluH,11,0.21428571428571427,0,2024-04-20
CEPH-Rtrend_fluH,12,0.1934156378600823,0,2024-04-20
CEPH-Rtrend_fluH,13,0.21621621621621623,0,2024-04-20
CEPH-Rtrend_fluH,15,1.2,0,2024-04-20
CEPH-Rtrend_fluH,16,0.13333333333333333,0,2024-04-20
CEPH-Rtrend_fluH,17,0.45081967213114754,0,2024-04-20
CEPH-Rtrend_fluH,18,0.5636363636363636,0,2024-04-20
CEPH-Rtrend_fluH,19,0.3584905660377358,0,2024-04-20
CEPH-Rtrend_fluH,20,0.5909090909090909,0,2024-04-20
CEPH-Rtrend_fluH,21,0.02127659574468085,0,2024-04-20
CEPH-Rtrend_fluH,22,0.16,0,2024-04-20
CEPH-Rtrend_fluH,23,0.1875,0,2024-04-20
CEPH-Rtrend_fluH,24,0.0,0,2024-04-20
CEPH-Rtrend_fluH,25,0.16535433070866143,0,2024-04-20
CEPH-Rtrend_fluH,26,0.5705128205128205,0,2024-04-20
CEPH-Rtrend_fluH,27,0.22641509433962265,0,2024-04-20
CEPH-Rtrend_fluH,28,0.16,0,2024-04-20
CEPH-Rtrend_fluH,29,0.05128205128205128,0,2024-04-20
CEPH-Rtrend_fluH,30,0.08333333333333333,0,2024-04-20
CEPH-Rtrend_fluH,31,0.4074074074074074,0,2024-04-20
CEPH-Rtrend_fluH,32,0.2692307692307692,0,2024-04-20
CEPH-Rtrend_fluH,33,0.0,0,2024-04-20
CEPH-Rtrend_fluH,34,0.045454545454545456,0,2024-04-20
CEPH-Rtrend_fluH,35,0.06666666666666667,0,2024-04-20
CEPH-Rtrend_fluH,36,0.3271889400921659,0,2024-04-20
CEPH-Rtrend_fluH,37,0.6086956521739131,0,2024-04-20
CEPH-Rtrend_fluH,38,0.3333333333333333,0,2024-04-20
CEPH-Rtrend_fluH,39,0.24770642201834864,0,2024-04-20
CEPH-Rtrend_fluH,40,0.1935483870967742,0,2024-04-20
CEPH-Rtrend_fluH,41,0.25,0,2024-04-20
CEPH-Rtrend_fluH,42,0.0196078431372549,0,2024-04-20
CEPH-Rtrend_fluH,44,0.2727272727272727,0,2024-04-20
CEPH-Rtrend_fluH,45,0.40540540540540543,0,2024-04-20
CEPH-Rtrend_fluH,46,0.4583333333333333,0,2024-04-20
CEPH-Rtrend_fluH,47,0.13793103448275862,0,2024-04-20
CEPH-Rtrend_fluH,48,0.35789473684210527,0,2024-04-20
CEPH-Rtrend_fluH,49,1.0,0,2024-04-20
CEPH-Rtrend_fluH,50,0.4,0,2024-04-20
CEPH-Rtrend_fluH,51,0.4177215189873418,0,2024-04-20
CEPH-Rtrend_fluH,53,0.2692307692307692,0,2024-04-20
CEPH-Rtrend_fluH,54,0.38461538461538464,0,2024-04-20
CEPH-Rtrend_fluH,55,0.25757575757575757,0,2024-04-20
CEPH-Rtrend_fluH,56,4.0,0,2024-04-20
CEPH-Rtrend_fluH,US,0.16206293706293706,0,2024-04-20
CEPH-Rtrend_fluH,01,0.5789473684210527,0,2024-04-13
CEPH-Rtrend_fluH,02,0.375,0,2024-04-13
CEPH-Rtrend_fluH,04,0.20454545454545456,0,2024-04-13
CEPH-Rtrend_fluH,05,0.0851063829787234,0,2024-04-13
CEPH-Rtrend_fluH,06,0.3707865168539326,0,2024-04-13
CEPH-Rtrend_fluH,08,0.41818181818181815,0,2024-04-13
CEPH-Rtrend_fluH,09,0.22580645161290322,0,2024-04-13
CEPH-Rtrend_fluH,10,1.4285714285714286,0,2024-04-13
CEPH-Rtrend_fluH,11,0.058823529411764705,0,2024-04-13
CEPH-Rtrend_fluH,12,0.2682926829268293,0,2024-04-13
CEPH-Rtrend_fluH,13,0.14814814814814814,0,2024-04-13
CEPH-Rtrend_fluH,15,0.3333333333333333,0,2024-04-13
CEPH-Rtrend_fluH,16,0.5833333333333334,0,2024-04-13
CEPH-Rtrend_fluH,17,0.15053763440860216,0,2024-04-13
CEPH-Rtrend_fluH,18,0.2980769230769231,0,2024-04-13
CEPH-Rtrend_fluH,19,0.09523809523809523,0,2024-04-13
CEPH-Rtrend_fluH,20,0.037037037037037035,0,2024-04-13
CEPH-Rtrend_fluH,21,0.19402985074626866,0,2024-04-13
CEPH-Rtrend_fluH,22,0.16666666666666666,0,2024-04-13
CEPH-Rtrend_fluH,23,0.3333333333333333,0,2024-04-13
CEPH-Rtrend_fluH,24,0.4909090909090909,0,2024-04-13
CEPH-Rtrend_fluH,25,0.125,0,2024-04-13
CEPH-Rtrend_fluH,26,0.09427609427609428,0,2024-04-13
CEPH-Rtrend_fluH,27,0.10126582278481013,0,2024-04-13
CEPH-Rtrend_fluH,28,0.5526315789473685,0,2024-04-13
CEPH-Rtrend_fluH,29,0.05555555555555555,0,2024-04-13
CEPH-Rtrend_fluH,30,0.2222222222222222,0,2024-04-13
CEPH-Rtrend_fluH,31,0.043478260869565216,0,2024-04-13
CEPH-Rtrend_fluH,32,0.2916666666666667,0,2024-04-13
CEPH-Rtrend_fluH,33,0.07142857142857142,0,2024-04-13
CEPH-Rtrend_fluH,34,0.11538461538461539,0,2024-04-13
CEPH-Rtrend_fluH,35,1.0526315789473684,0,2024-04-13
CEPH-Rtrend_fluH,36,0.12568306010928962,0,2024-04-13
CEPH-Rtrend_fluH,37,0.14545454545454545,0,2024-04-13
CEPH-Rtrend_fluH,38,0.4117647058823529,0,2024-04-13
CEPH-Rtrend_fluH,39,0.3036649214659686,0,2024-04-13
CEPH-Rtrend_fluH,40,0.4722222222222222,0,2024-04-13
CEPH-Rtrend_fluH,41,0.09090909090909091,0,2024-04-13
CEPH-Rtrend_fluH,42,0.08040201005025126,0,2024-04-13
CEPH-Rtrend_fluH,44,0.0,0,2024-04-13
CEPH-Rtrend_fluH,45,0.5,0,2024-04-13
CEPH-Rtrend_fluH,46,0.8571428571428571,0,2024-04-13
CEPH-Rtrend_fluH,47,0.2727272727272727,0,2024-04-13
CEPH-Rtrend_fluH,48,0.07211538461538461,0,2024-04-13
CEPH-Rtrend_fluH,49,11.0,0,2024-04-13
CEPH-Rtrend_fluH,50,0.625,0,2024-04-13
CEPH-Rtrend_fluH,51,0.4727272727272727,0,2024-04-13
CEPH-Rtrend_fluH,53,0.30952380952380953,0,2024-04-13
CEPH-Rtrend_fluH,54,0.8181818181818182,0,2024-04-13
CEPH-Rtrend_fluH,55,0.0,0,2024-04-13
CEPH-Rtrend_fluH,56,0.0,0,2024-04-13
CEPH-Rtrend_fluH,US,0.0429618397776093,0,2024-04-13
CEPH-Rtrend_fluH,01,0.20512820512820512,0,2024-04-06
CEPH-Rtrend_fluH,02,0.42857142857142855,0,2024-04-06
CEPH-Rtrend_fluH,04,0.09523809523809523,0,2024-04-06
CEPH-Rtrend_fluH,05,0.23333333333333334,0,2024-04-06
CEPH-Rtrend_fluH,06,0.08666666666666667,0,2024-04-06
CEPH-Rtrend_fluH,08,0.14285714285714285,0,2024-04-06
CEPH-Rtrend_fluH,09,0.20454545454545456,0,2024-04-06
CEPH-Rtrend_fluH,10,0.3684210526315789,0,2024-04-06
CEPH-Rtrend_fluH,11,0.5217391304347826,0,2024-04-06
CEPH-Rtrend_fluH,12,0.06687898089171974,0,2024-04-06
CEPH-Rtrend_fluH,13,0.23214285714285715,0,2024-04-06
CEPH-Rtrend_fluH,15,0.3333333333333333,0,2024-04-06
CEPH-Rtrend_fluH,16,0.03225806451612903,0,2024-04-06
CEPH-Rtrend_fluH,17,0.14285714285714285,0,2024-04-06
CEPH-Rtrend_fluH,18,0.24183006535947713,0,2024-04-06
CEPH-Rtrend_fluH,19,0.14634146341463414,0,2024-04-06
CEPH-Rtrend_fluH,20,0.047619047619047616,0,2024-04-06
CEPH-Rtrend_fluH,21,0.029411764705882353,0,2024-04-06
CEPH-Rtrend_fluH,22,0.38235294117647056,0,2024-04-06
CEPH-Rtrend_fluH,23,0.125,0,2024-04-06
CEPH-Rtrend_fluH,24,0.29545454545454547,0,2024-04-06
CEPH-Rtrend_fluH,25,0.18691588785046728,0,2024-04-06
CEPH-Rtrend_fluH,26,0.021844660194174758,0,2024-04-06
CEPH-Rtrend_fluH,27,0.14285714285714285,0,2024-04-06
CEPH-Rtrend_fluH,28,0.26666666666666666,0,2024-04-06
CEPH-Rtrend_fluH,29,0.0945945945945946,0,2024-04-06
CEPH-Rtrend_fluH,30,2.0,0,2024-04-06
CEPH-Rtrend_fluH,31,0.21818181818181817,0,2024-04-06
CEPH-Rtrend_fluH,32,0.4857142857142857,0,2024-04-06
CEPH-Rtrend_fluH,33,0.4375,0,2024-04-06
CEPH-Rtrend_fluH,34,0.07142857142857142,0,2024-04-06
CEPH-Rtrend_fluH,35,0.24390243902439024,0,2024-04-06
CEPH-Rtrend_fluH,36,0.1897810218978102,0,2024-04-06
CEPH-Rtrend_fluH,37,0.012987012987012988,0,2024-04-06
CEPH-Rtrend_fluH,38,0.6842105263157895,0,2024-04-06
CEPH-Rtrend_fluH,39,0.2862453531598513,0,2024-04-06
CEPH-Rtrend_fluH,40,0.20634920634920634,0,2024-04-06
CEPH-Rtrend_fluH,41,0.23529411764705882,0,2024-04-06
CEPH-Rtrend_fluH,42,0.15891472868217055,0,2024-04-06
CEPH-Rtrend_fluH,44,0.375,0,2024-04-06
CEPH-Rtrend_fluH,45,0.2727272727272727,0,2024-04-06
CEPH-Rtrend_fluH,46,0.40540540540540543,0,2024-04-06
CEPH-Rtrend_fluH,47,0.058823529411764705,0,2024-04-06
CEPH-Rtrend_fluH,48,0.10931174089068826,0,2024-04-06
CEPH-Rtrend_fluH,49,0.2,0,2024-04-06
CEPH-Rtrend_fluH,50,0.7777777777777778,0,2024-04-06
CEPH-Rtrend_fluH,51,0.4968152866242038,0,2024-04-06
CEPH-Rtrend_fluH,53,0.023255813953488372,0,2024-04-06
CEPH-Rtrend_fluH,54,0.29411764705882354,0,2024-04-06
CEPH-Rtrend_fluH,55,0.336,0,2024-04-06
CEPH-Rtrend_fluH,56,0.42857142857142855,0,2024-04-06
CEPH-Rtrend_fluH,US,0.12603514441526964,0,2024-04-06
CEPH-Rtrend_fluH,01,0.29508196721311475,0,2024-03-30
CEPH-Rtrend_fluH,02,0.375,0,2024-03-30
CEPH-Rtrend_fluH,04,0.061855670103092786,0,2024-03-30
CEPH-Rtrend_fluH,05,0.13414634146341464,0,2024-03-30
CEPH-Rtrend_fluH,06,0.2154696132596685,0,2024-03-30
CEPH-Rtrend_fluH,08,0.2647058823529412,0,2024-03-30
CEPH-Rtrend_fluH,09,0.3707865168539326,0,2024-03-30
CEPH-Rtrend_fluH,10,0.26666666666666666,0,2024-03-30
CEPH-Rtrend_fluH,11,0.2777777777777778,0,2024-03-30
CEPH-Rtrend_fluH,12,0.1485148514851485,0,2024-03-30
CEPH-Rtrend_fluH,13,0.203125,0,2024-03-30
CEPH-Rtrend_fluH,15,0.0,0,2024-03-30
CEPH-Rtrend_fluH,16,0.044444444444444446,0,2024-03-30
CEPH-Rtrend_fluH,17,0.11274509803921569,0,2024-03-30
CEPH-Rtrend_fluH,18,0.358974358974359,0,2024-03-30
CEPH-Rtrend_fluH,19,0.2777777777777778,0,2024-03-30
CEPH-Rtrend_fluH,20,0.3142857142857143,0,2024-03-30
CEPH-Rtrend_fluH,21,0.31666666666666665,0,2024-03-30
CEPH-Rtrend_fluH,22,0.5416666666666666,0,2024-03-30
CEPH-Rtrend_fluH,23,0.13043478260869565,0,2024-03-30
CEPH-Rtrend_fluH,24,0.39473684210526316,0,2024-03-30
CEPH-Rtrend_fluH,25,0.03,0,2024-03-30
CEPH-Rtrend_fluH,26,0.18541666666666667,0,2024-03-30
CEPH-Rtrend_fluH,27,0.11290322580645161,0,2024-03-30
CEPH-Rtrend_fluH,28,0.3333333333333333,0,2024-03-30
CEPH-Rtrend_fluH,29,0.3160621761658031,0,2024-03-30
CEPH-Rtrend_fluH,30,0.6896551724137931,0,2024-03-30
CEPH-Rtrend_fluH,31,0.0196078431372549,0,2024-03-30
CEPH-Rtrend_fluH,32,0.46153846153846156,0,2024-03-30
CEPH-Rtrend_fluH,33,0.058823529411764705,0,2024-03-30
CEPH-Rtrend_fluH,34,0.26595744680851063,0,2024-03-30
CEPH-Rtrend_fluH,35,0.3333333333333333,0,2024-03-30
CEPH-Rtrend_fluH,36,0.2857142857142857,0,2024-03-30
CEPH-Rtrend_fluH,37,0.32954545454545453,0,2024-03-30
CEPH-Rtrend_fluH,38,0.5161290322580645,0,2024-03-30
CEPH-Rtrend_fluH,39,0.36065573770491804,0,2024-03-30
CEPH-Rtrend_fluH,40,0.31868131868131866,0,2024-03-30
CEPH-Rtrend_fluH,41,0.46875,0,2024-03-30
CEPH-Rtrend_fluH,42,0.041044776119402986,0,2024-03-30
CEPH-Rtrend_fluH,44,0.5714285714285714,0,2024-03-30
CEPH-Rtrend_fluH,45,0.14285714285714285,0,2024-03-30
CEPH-Rtrend_fluH,46,0.8181818181818182,0,2024-03-30
CEPH-Rtrend_fluH,47,0.12790697674418605,0,2024-03-30
CEPH-Rtrend_fluH,48,0.07973421926910298,0,2024-03-30
CEPH-Rtrend_fluH,49,0.2727272727272727,0,2024-03-30
CEPH-Rtrend_fluH,50,0.0,0,2024-03-30
CEPH-Rtrend_fluH,51,0.38738738738738737,0,2024-03-30
CEPH-Rtrend_fluH,53,0.375,0,2024-03-30
CEPH-Rtrend_fluH,54,0.352112676056338,0,2024-03-30
CEPH-Rtrend_fluH,55,0.3492063492063492,0,2024-03-30
CEPH-Rtrend_fluH,56,0.0,0,2024-03-30
CEPH-Rtrend_fluH,US,0.1696969696969697,0,2024-03-30
CEPH-Rtrend_fluH,01,0.1864406779661017,0,2024-03-23
CEPH-Rtrend_fluH,02,0.4,0,2024-03-23
CEPH-Rtrend_fluH,04,0.12264150943396226,0,2024-03-23
CEPH-Rtrend_fluH,05,0.30952380952380953,0,2024-03-23
CEPH-Rtrend_fluH,06,0.21142857142857144,0,2024-03-23
CEPH-Rtrend_fluH,08,0.041237113402061855,0,2024-03-23
CEPH-Rtrend_fluH,09,0.024096385542168676,0,2024-03-23
CEPH-Rtrend_fluH,10,0.125,0,2024-03-23
CEPH-Rtrend_fluH,11,0.5,0,2024-03-23
CEPH-Rtrend_fluH,12,0.035046728971962614,0,2024-03-23
CEPH-Rtrend_fluH,13,0.0975609756097561,0,2024-03-23
CEPH-Rtrend_fluH,15,1.6666666666666667,0,2024-03-23
CEPH-Rtrend_fluH,16,0.01818181818181818,0,2024-03-23
CEPH-Rtrend_fluH,17,0.027777777777777776,0,2024-03-23
CEPH-Rtrend_fluH,18,0.3825503355704698,0,2024-03-23
CEPH-Rtrend_fluH,19,0.05319148936170213,0,2024-03-23
CEPH-Rtrend_fluH,20,0.6212121212121212,0,2024-03-23
CEPH-Rtrend_fluH,21,0.2868217054263566,0,2024-03-23
CEPH-Rtrend_fluH,22,0.09090909090909091,0,2024-03-23
CEPH-Rtrend_fluH,23,0.15384615384615385,0,2024-03-23
CEPH-Rtrend_fluH,24,0.02666666666666667,0,2024-03-23
CEPH-Rtrend_fluH,25,0.05508474576271186,0,2024-03-23
CEPH-Rtrend_fluH,26,0.23636363636363636,0,2024-03-23
CEPH-Rtrend_fluH,27,0.06015037593984962,0,2024-03-23
CEPH-Rtrend_fluH,28,0.0,0,2024-03-23
CEPH-Rtrend_fluH,29,0.2552083333333333,0,2024-03-23
CEPH-Rtrend_fluH,30,0.47619047619047616,0,2024-03-23
CEPH-Rtrend_fluH,31,0.06557377049180328,0,2024-03-23
CEPH-Rtrend_fluH,32,0.1951219512195122,0,2024-03-23
CEPH-Rtrend_fluH,33,0.48,0,2024-03-23
CEPH-Rtrend_fluH,34,0.17679558011049723,0,2024-03-23
CEPH-Rtrend_fluH,35,0.40350877192982454,0,2024-03-23
CEPH-Rtrend_fluH,36,0.12605042016806722,0,2024-03-23
CEPH-Rtrend_fluH,37,0.24096385542168675,0,2024-03-23
CEPH-Rtrend_fluH,38,0.1,0,2024-03-23
CEPH-Rtrend_fluH,39,0.18796992481203006,0,2024-03-23
CEPH-Rtrend_fluH,40,0.09574468085106383,0,2024-03-23
CEPH-Rtrend_fluH,41,0.4536082474226804,0,2024-03-23
CEPH-Rtrend_fluH,42,0.14985590778097982,0,2024-03-23
CEPH-Rtrend_fluH,44,0.14285714285714285,0,2024-03-23
CEPH-Rtrend_fluH,45,0.029850746268656716,0,2024-03-23
CEPH-Rtrend_fluH,46,0.3898305084745763,0,2024-03-23
CEPH-Rtrend_fluH,47,0.3125,0,2024-03-23
CEPH-Rtrend_fluH,48,0.10029498525073746,0,2024-03-23
CEPH-Rtrend_fluH,49,0.4166666666666667,0,2024-03-23
CEPH-Rtrend_fluH,50,0.1111111111111111,0,2024-03-23
CEPH-Rtrend_fluH,51,0.3049645390070922,0,2024-03-23
CEPH-Rtrend_fluH,53,0.04938271604938271,0,2024-03-23
CEPH-Rtrend_fluH,54,0.225,0,2024-03-23
CEPH-Rtrend_fluH,55,0.08270676691729323,0,2024-03-23
CEPH-Rtrend_fluH,56,0.4,0,2024-03-23
CEPH-Rtrend_fluH,US,0.05405176789037388,0,2024-03-23
CEPH-Rtrend_fluH,01,0.09876543209876543,0,2024-03-16
